TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,INCOME_GROUP,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_GIFT_COUNT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
YES,53,81,,9,5863,1500,174523,1,1,24,12,3,6,13,24,49
YES,65,54,7,9,5946,1500,130295,3,3,17,19,8,6,13,15,56
YES,29,,6,,5982,1500,106273,2,2,20,9,2,6,13,20,24
NO,137,76,,9,5797,1067,100815,2,1,19,30,13,5,14,19,126
YES,29,,6,,5846,644,100528,3,1,16,10,3,6,14,16,23
YES,89,17,6,9,5324,1159,95913,2,1,24,19,4,6,12,24,81
YES,101,85,6,9,5980,1500,94863,3,3,16,28,8,6,13,16,105
YES,77,69,6,9,5817,931,91576,9,6,11,34,32,10,27,6,76
YES,29,56,6,,5907,1285,91205,5,2,19,11,5,6,14,19,32
YES,29,35,7,,5975,1500,90600,5,4,16,11,5,6,14,16,29
NO,113,79,5,6,5309,1275,88894,2,1,18,24,12,4,11,18,113
YES,137,68,7,9,5931,1500,87490,3,3,17,32,26,6,40,16,123
YES,65,65,7,9,3573,1245,83519,2,2,20,18,6,6,13,20,57
NO,77,68,7,9,5804,1500,83392,1,0,26,18,4,4,9,26,75
YES,101,61,,9,4306,1500,82626,7,6,16,26,18,6,13,16,93
YES,41,,,,5886,1096,82369,1,0,21,16,3,6,13,21,43
YES,137,46,6,9,5886,1096,82369,4,4,20,35,32,6,13,20,128
YES,41,55,5,,5908,1122,81205,3,1,26,16,4,5,25,26,39
YES,41,47,6,9,5951,1184,80928,4,3,25,17,12,6,12,18,44
YES,101,83,6,8,3939,1144,79386,3,1,26,22,14,4,10,26,93
NO,17,54,7,,5030,1351,79232,1,1,16,6,1,4,11,16,16
NO,89,72,7,9,5030,1351,79232,3,1,18,23,11,6,13,18,80
NO,17,75,7,,5347,696,78123,1,1,17,6,2,5,11,16,17
NO,113,27,7,9,5963,1330,75627,1,0,27,31,14,7,33,5,113
YES,77,,6,9,5976,1395,74322,7,6,21,24,19,6,13,21,76
YES,89,28,6,8,5149,659,72797,5,3,17,25,26,6,14,17,89
NO,137,62,4,8,2452,770,72023,1,1,18,27,16,5,13,18,122
YES,29,,6,,5898,774,70375,3,2,18,9,3,6,12,18,23
YES,65,62,7,9,2108,897,70349,4,3,19,19,8,6,13,19,56
NO,137,,7,9,4500,1068,70215,2,0,17,38,13,8,24,17,126
YES,137,82,6,9,2971,1500,69768,1,1,21,30,17,6,12,21,129
YES,113,62,6,9,5965,1168,68814,2,0,18,23,7,4,11,18,104
YES,113,47,,8,5954,1500,68593,2,0,18,23,7,6,13,18,103
NO,29,38,7,,4039,1488,68442,3,1,15,9,3,6,13,15,26
YES,101,63,6,9,4220,982,68148,2,2,16,21,6,6,14,16,90
NO,29,,,,4495,685,66280,3,2,17,12,3,6,13,17,33
NO,89,78,5,9,5042,1148,65104,2,0,18,18,6,4,13,18,80
YES,89,50,6,9,5939,1214,64833,4,3,17,20,9,6,13,17,87
YES,17,,7,,900,437,64360,1,1,16,6,1,5,11,16,16
NO,89,87,5,9,2296,514,64331,3,2,25,26,12,6,12,25,81
YES,29,46,6,,4956,805,64234,2,1,17,11,2,6,13,17,28
YES,65,59,6,9,5742,1289,64190,2,1,26,21,6,5,11,26,64
NO,29,73,,,5956,1200,63550,5,2,15,14,8,8,30,7,29
YES,29,75,4,,5970,1386,62822,6,5,11,24,11,11,28,6,45
NO,29,72,5,,2865,1263,62334,3,2,18,10,3,6,13,18,24
YES,77,80,6,9,5626,1023,62324,3,2,24,24,8,6,12,24,69
YES,41,,5,9,3017,740,62084,2,1,20,16,7,6,27,17,45
YES,137,62,6,,2347,615,61923,5,5,15,25,18,4,10,15,107
YES,77,65,2,9,5811,1040,61440,2,1,25,17,4,6,11,25,76
NO,41,77,,,3854,807,61296,4,4,16,18,10,8,28,9,114
NO,29,55,,,1881,1198,60630,2,2,15,7,2,5,10,15,23
NO,65,,,,2750,599,60625,4,2,17,21,8,6,18,15,57
YES,29,43,7,,5813,1221,60492,0,0,,5,1,3,8,23,23
NO,101,66,7,9,2715,914,60168,3,1,15,28,7,6,15,15,100
NO,125,17,5,9,3443,1008,60077,1,0,26,27,11,5,11,26,123
YES,77,7,,9,5294,1035,60053,1,0,30,22,7,6,13,18,75
NO,125,17,,6,2322,732,59477,1,0,26,28,15,4,11,26,122
NO,29,,,,4280,1500,58982,1,1,24,7,1,4,10,24,24
YES,137,53,6,9,5914,1490,58689,1,1,31,35,19,6,14,16,122
NO,113,,4,,2199,943,58303,2,0,18,25,14,5,12,18,105
NO,137,71,7,9,3327,978,58250,5,2,19,33,23,6,15,18,122
NO,17,43,7,,5192,1157,58161,1,1,21,6,1,4,10,21,21
YES,125,47,7,9,2458,1178,58088,4,2,27,31,43,5,14,27,125
NO,29,,7,,4585,1500,57967,2,0,26,8,2,4,10,26,30
YES,53,55,7,9,5778,517,57644,1,1,23,12,4,6,29,19,49
YES,29,,6,,5879,703,57390,3,2,17,9,5,6,12,17,28
YES,29,,5,,3741,1376,57103,2,2,21,8,2,4,10,21,28
YES,41,55,6,,5795,1329,57002,2,0,18,12,3,4,10,18,38
NO,77,83,5,9,3597,398,56413,2,1,21,23,9,6,13,21,76
NO,41,,1,,5498,333,55977,1,1,18,11,2,6,15,18,40
NO,137,51,7,9,5498,333,55977,1,1,17,24,5,4,11,17,123
NO,101,58,7,9,2576,1028,55928,4,4,17,24,10,6,14,17,93
YES,29,77,7,,5344,705,55857,2,2,16,11,2,6,14,16,29
YES,17,37,5,,2432,1273,55765,1,1,17,5,1,4,10,17,17
YES,41,,,9,5643,772,55164,4,3,16,15,6,6,16,16,44
YES,17,53,6,,4507,842,54642,1,0,19,5,1,4,9,19,19
NO,137,,7,8,3356,1236,54641,3,3,24,34,30,5,10,24,129
NO,101,56,5,9,2355,783,54640,2,1,25,24,8,6,11,25,92
NO,77,37,6,9,4326,884,53833,0,0,,18,8,6,12,25,80
NO,89,63,7,9,4164,723,53722,0,0,,22,6,5,27,26,78
NO,137,58,7,9,2929,613,53688,2,2,16,35,10,6,15,16,116
NO,77,64,7,9,2929,613,53688,1,1,21,18,3,6,12,21,68
NO,29,39,7,,4012,488,53607,2,2,23,11,6,6,14,18,29
NO,89,72,1,9,5190,576,53541,1,1,17,22,11,6,25,5,99
NO,89,7,5,9,4798,491,53233,2,0,26,25,12,5,12,26,86
YES,89,65,6,9,5725,610,53158,1,0,18,23,13,4,13,18,85
YES,137,,,9,5725,610,53158,2,2,22,30,11,6,13,22,130
YES,89,,,9,5725,610,53158,6,3,19,24,33,6,24,6,78
YES,137,80,,9,3542,642,53131,2,0,18,16,14,3,9,18,128
NO,77,57,7,9,2320,471,52991,3,2,16,24,7,6,14,16,75
NO,65,86,3,,4684,440,52748,2,0,18,21,17,8,30,6,65
YES,113,69,,,5209,1054,52654,3,2,26,45,17,10,21,18,105
YES,17,,,,5000,569,52576,1,1,16,5,1,4,9,16,16
NO,29,57,5,,4063,647,52572,2,2,17,9,2,6,13,17,24
YES,65,50,7,9,5829,585,52437,2,0,18,15,4,5,11,18,56
NO,65,47,7,9,2212,697,52288,2,2,16,20,5,6,14,16,65
NO,29,53,7,,3776,809,52240,2,2,22,10,3,6,14,17,25
YES,29,,,,5567,1094,52169,1,1,23,8,1,4,12,23,23
NO,89,55,6,9,5906,779,51763,1,0,25,20,6,4,10,25,86
NO,113,78,6,8,5948,787,51576,0,0,,26,17,6,30,12,103
YES,41,17,4,9,5667,492,51280,1,0,26,16,6,5,18,26,44
YES,77,50,7,9,5806,778,50987,1,0,20,17,5,3,10,20,76
YES,29,61,7,,2119,956,50910,2,2,21,9,2,6,13,21,23
YES,89,69,6,9,5000,738,50907,5,2,19,22,12,6,13,19,89
YES,125,51,,9,5164,650,50548,2,0,17,17,12,3,7,17,125
NO,53,75,3,,3530,704,50158,3,3,21,12,9,5,12,21,53
NO,137,43,4,9,3530,704,50158,4,4,16,30,14,6,13,16,129
YES,137,72,,9,3531,744,50146,2,1,22,32,12,6,12,22,122
YES,113,,5,,4259,711,50098,5,3,19,27,14,6,13,19,104
YES,113,75,5,9,2357,937,49854,2,0,18,25,10,6,13,18,105
NO,65,66,4,9,2357,937,49854,1,0,26,19,3,5,21,26,64
NO,65,71,,9,2075,487,49813,1,0,26,19,4,5,11,26,63
YES,41,,3,,1043,610,49744,3,3,22,15,4,6,12,22,41
YES,89,78,7,9,2712,1022,49631,1,1,19,20,7,4,7,19,80
NO,29,78,4,,4777,1012,49578,3,1,26,12,4,5,26,19,33
YES,65,51,,9,4240,714,49256,2,2,16,20,15,6,14,16,65
NO,41,62,7,,1924,923,49005,3,3,23,13,4,5,11,23,40
YES,29,79,5,,1982,786,48843,8,3,14,21,11,11,29,6,33
NO,89,47,,9,3453,1103,48827,1,0,26,26,8,4,11,26,80
NO,113,42,7,9,3453,1103,48827,1,0,26,26,21,5,29,4,113
NO,17,67,6,,3250,531,48809,1,1,17,5,1,4,10,17,17
NO,53,65,7,9,4625,641,48391,3,1,17,21,6,6,13,17,53
NO,77,64,6,9,3242,953,48310,1,0,19,14,7,4,27,10,65
YES,41,,,,3333,390,48235,7,4,17,15,8,6,14,17,41
YES,17,37,7,,4601,1060,48133,1,1,20,7,1,5,11,20,20
NO,41,53,6,,3484,357,47982,3,2,16,13,3,6,13,16,35
YES,17,87,6,,3410,710,47973,1,1,17,6,1,5,11,17,17
YES,77,75,6,9,3760,705,47863,5,2,18,20,10,6,13,18,76
YES,101,50,7,9,1887,591,47673,1,0,20,29,11,6,13,20,96
YES,77,,,9,5727,694,47422,7,5,22,23,26,6,11,19,76
YES,77,82,7,9,1938,483,47363,2,0,15,20,6,5,12,15,70
YES,17,81,5,,1979,408,47349,1,1,21,5,1,3,8,21,21
YES,113,87,7,9,5679,518,47163,2,2,21,24,8,4,10,21,113
YES,29,85,4,,2469,346,47151,4,4,16,10,4,6,14,16,29
YES,77,74,5,9,3772,515,46740,1,0,15,20,6,5,14,15,75
NO,113,36,5,9,2932,619,46496,5,3,19,23,29,3,8,19,112
NO,89,61,7,9,1230,615,46374,3,2,17,21,7,6,13,17,78
NO,89,75,6,,2315,766,46168,3,2,21,13,9,2,13,20,79
YES,113,77,7,,2441,579,46160,2,1,16,13,4,4,10,16,105
NO,101,,7,9,1621,792,46072,1,0,18,22,5,6,13,18,93
NO,29,51,7,,2789,477,46046,2,1,18,12,2,6,13,18,32
NO,89,,,8,2618,497,46033,3,3,17,20,10,6,14,17,78
NO,17,30,5,,3079,841,46002,1,1,17,5,1,4,10,17,17
YES,89,81,6,9,5739,634,45680,2,2,17,18,7,4,11,17,81
NO,29,53,7,,1469,564,45488,2,0,20,11,2,6,14,20,28
YES,17,49,5,,5854,927,45167,1,1,21,7,1,5,10,21,21
YES,113,39,7,,1599,911,44971,1,0,16,21,7,5,12,16,112
YES,113,79,3,,5743,564,44839,4,1,15,13,10,3,6,15,110
NO,17,,7,,3310,479,44774,1,1,16,5,1,4,11,16,16
NO,89,,,9,3310,479,44774,4,1,17,25,14,6,16,17,92
NO,17,51,7,,1815,771,44632,1,1,16,5,1,4,11,16,16
YES,29,,,,5372,673,44570,2,1,18,11,4,6,14,18,28
YES,29,77,6,,2947,564,44438,1,1,24,6,3,3,24,11,24
YES,101,47,6,9,5633,792,44347,3,2,16,25,11,6,14,16,89
YES,29,73,5,,1344,458,44193,6,4,18,12,7,6,11,18,33
NO,41,80,7,9,2074,988,44087,3,1,26,16,4,5,12,26,45
NO,101,63,,9,1651,844,44059,2,2,16,19,7,5,13,15,91
NO,101,80,5,5,4526,491,44042,3,2,15,22,13,7,32,5,92
NO,101,74,,9,3740,827,44015,6,3,14,32,23,10,28,14,91
YES,101,60,7,9,5619,572,43978,2,1,16,26,11,6,14,16,91
YES,53,65,6,9,5287,1032,43904,2,2,23,20,8,6,12,23,53
YES,137,77,7,9,5266,495,43828,2,1,26,30,15,4,9,26,120
NO,77,,1,9,3333,584,43797,4,2,18,19,8,6,13,18,76
YES,53,77,7,9,2041,856,43661,3,1,21,16,6,5,10,21,53
NO,29,26,,,2741,1022,43642,2,1,15,8,2,5,12,15,23
YES,77,56,6,9,5940,761,43571,1,0,19,14,4,4,10,19,68
NO,29,79,1,,1770,599,43256,2,1,24,10,3,6,13,24,30
YES,137,50,,9,2408,906,42897,2,1,16,15,8,4,9,16,109
YES,89,59,6,,4954,1106,42857,3,1,18,21,9,6,13,18,78
NO,89,37,6,9,5435,1375,42851,2,2,15,26,10,10,24,15,87
NO,53,87,7,9,3043,1060,42667,7,5,16,20,15,6,16,16,53
YES,77,51,5,9,2172,1033,42625,2,1,19,23,6,6,13,19,74
NO,77,56,7,9,2172,1033,42625,3,3,21,25,11,6,13,21,67
YES,17,77,7,,1364,634,42549,1,1,17,5,1,4,10,17,17
YES,77,81,5,9,5444,816,42502,4,3,18,23,7,6,13,18,75
NO,17,41,6,,2292,713,42494,1,1,17,5,1,4,10,17,17
YES,41,,,,5045,604,42488,8,5,18,16,12,7,18,9,40
YES,89,81,4,9,5439,984,42403,2,0,18,23,9,6,13,18,82
YES,77,27,6,9,1979,350,42356,1,0,16,18,5,5,11,16,76
NO,89,80,7,9,5315,483,42350,5,2,16,33,16,11,23,16,86
YES,29,74,5,,2282,908,42236,2,2,17,9,2,6,13,17,24
YES,101,41,6,9,5256,901,41906,2,0,17,25,12,6,13,17,92
YES,53,53,6,9,2650,853,41814,1,1,18,18,4,6,12,18,51
NO,41,80,7,,1653,539,41752,3,2,23,16,7,6,32,14,40
NO,137,85,5,,1653,539,41752,4,2,20,30,14,6,13,20,125
YES,17,42,6,,5501,817,41734,2,1,16,12,2,10,22,16,20
YES,77,82,7,9,5501,817,41734,3,0,15,19,8,6,14,15,75
YES,77,37,,9,3997,896,41664,3,3,16,20,8,5,12,16,68
YES,41,,5,,1906,512,41437,7,2,16,13,8,5,12,16,39
NO,137,68,7,9,2375,546,41431,2,0,16,21,24,2,9,16,129
YES,89,45,7,9,5798,1036,41428,3,1,16,21,8,6,16,16,89
NO,101,49,,9,1044,312,41360,6,2,16,26,19,6,15,16,91
NO,29,59,4,,2693,564,41324,2,1,24,10,2,4,10,24,32
NO,41,30,,,2693,564,41324,2,1,17,11,3,6,13,17,45
NO,137,47,7,,2693,564,41324,3,1,19,27,21,2,6,19,122
NO,113,60,7,9,2028,920,41252,2,1,21,28,8,6,13,21,104
NO,137,79,6,9,2028,920,41252,4,4,15,24,15,3,7,15,129
YES,65,61,4,9,4705,839,41201,4,3,16,18,11,6,15,15,64
YES,65,76,7,9,3157,1012,41173,1,0,26,16,4,4,10,26,65
NO,17,,,,1929,247,41153,2,1,16,6,3,5,11,15,17
NO,41,47,5,,1609,783,40913,2,2,17,14,3,6,13,17,40
YES,17,63,6,,1548,572,40741,0,0,,4,1,4,10,19,19
NO,137,76,7,9,1548,572,40741,1,1,21,24,7,4,14,21,130
YES,29,77,6,,5222,799,40664,2,2,20,10,2,4,10,20,33
NO,101,45,7,9,2004,849,40601,2,2,22,25,9,6,12,22,92
NO,65,47,6,7,3078,352,40562,2,1,17,15,4,6,12,17,56
YES,29,77,6,,5438,881,40432,2,0,25,10,2,4,10,25,32
NO,29,39,5,,1598,535,40300,2,2,24,9,2,4,10,24,32
NO,77,64,6,6,2069,689,40272,2,1,23,26,23,7,31,13,74
YES,41,82,7,,5500,480,40224,1,0,18,9,2,4,10,18,37
YES,101,71,7,8,2556,490,40178,4,4,23,23,11,6,12,23,93
YES,89,50,,9,2556,490,40178,5,3,16,24,11,6,15,16,89
YES,137,52,7,9,5828,856,40064,1,1,21,25,6,4,10,21,109
NO,89,75,4,9,1667,354,40050,4,3,23,26,9,6,13,23,79
NO,89,17,5,9,1345,564,40044,3,3,17,23,10,7,28,15,81
YES,29,39,7,,5000,462,39964,3,2,16,13,4,6,15,16,33
NO,113,58,7,9,2083,818,39956,2,1,27,28,13,5,12,27,113
YES,41,,7,,5407,1066,39951,4,3,20,13,6,6,14,18,34
YES,41,39,5,,2008,788,39749,4,1,15,13,6,5,11,15,40
NO,17,49,7,,3875,500,39671,1,1,17,6,1,5,11,17,17
NO,53,51,7,5,2442,572,39620,3,0,18,17,8,6,13,18,52
NO,65,67,4,3,1773,598,39605,2,2,22,13,4,3,8,22,49
YES,41,41,7,9,1565,713,39534,3,2,21,16,5,6,12,21,44
YES,125,77,,9,5190,870,39481,2,0,18,27,9,6,13,18,114
NO,137,83,5,9,1433,643,39451,2,0,18,31,10,6,13,18,127
YES,89,49,6,,2159,871,39328,2,0,25,15,9,2,6,25,81
YES,29,53,7,,2817,767,39319,2,2,20,10,4,6,13,18,28
YES,137,84,5,,1506,517,39301,1,0,18,30,12,6,13,18,129
NO,125,60,6,1,1506,517,39301,4,2,16,32,18,8,31,9,112
YES,89,59,7,,1883,771,39170,6,4,17,23,19,6,14,17,81
NO,101,39,,9,2077,529,39065,1,0,26,20,11,3,7,26,105
YES,137,76,7,9,3895,518,39056,3,3,16,27,13,5,13,16,127
YES,29,,,,5000,850,39028,1,1,24,7,1,4,10,24,24
YES,122,,,0,5132,655,38854,4,1,11,37,38,10,59,9,122
NO,17,34,6,,1985,675,38744,1,0,16,6,1,5,12,16,16
NO,29,37,7,,2354,355,38707,4,3,21,18,4,8,19,21,33
YES,137,71,7,9,1490,612,38526,7,5,18,34,23,6,14,18,128
YES,41,63,7,,4769,518,38507,3,2,17,16,4,6,13,17,38
NO,53,60,6,9,984,509,38403,1,0,18,16,5,4,11,18,57
NO,125,65,7,9,3040,983,38321,2,2,19,32,19,6,23,19,124
YES,113,47,6,,2442,641,38212,2,1,21,26,18,6,32,16,106
YES,17,,4,,2631,689,38138,1,1,17,6,1,5,11,17,17
YES,125,79,7,9,2631,689,38138,3,1,19,32,13,6,13,19,124
NO,41,62,4,,2077,662,38079,1,1,21,15,2,6,12,21,42
YES,17,,,,3514,531,38075,1,1,17,6,1,5,11,17,17
NO,77,80,4,,1571,503,38023,3,1,15,21,10,6,12,15,75
YES,89,70,5,9,5649,750,37961,5,2,15,22,13,5,12,15,81
YES,101,75,7,,5000,665,37898,4,2,16,25,13,6,14,16,91
YES,41,65,7,,2674,561,37883,4,1,15,14,6,6,14,15,41
NO,65,79,,,2048,736,37752,1,0,18,10,3,5,12,18,64
YES,89,60,3,3,593,256,37734,1,0,17,17,4,4,10,17,82
NO,113,53,5,9,3111,640,37725,1,1,24,22,9,4,9,24,113
NO,77,,,9,1763,442,37704,2,1,30,24,7,6,13,18,76
YES,17,77,6,,5377,671,37647,1,1,21,7,1,5,26,21,21
YES,137,79,6,9,3125,616,37628,6,4,17,37,91,9,39,5,230
NO,17,77,5,,1228,540,37575,1,0,16,6,1,5,12,16,16
NO,101,73,5,9,1228,540,37575,0,0,,29,12,6,15,18,104
YES,53,45,5,9,3333,690,37495,3,2,18,18,6,6,14,18,52
YES,125,66,6,9,4206,789,37411,1,0,26,25,9,4,9,26,123
YES,137,68,7,9,1110,530,37375,7,3,15,32,26,6,14,15,122
YES,41,58,,9,2123,422,37262,7,5,13,20,10,11,28,5,45
